This file was created by CMPT_IND_RETS using the 202403 CRSP database.
It contains value- and equal-weighted returns for 12 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
192607,   1.31,  15.07,   3.38,  -1.30,   7.76,   3.08,   0.83,   6.89,  -0.13,   1.11,  -0.08,   1.92
192608,   3.70,   3.09,   1.91,   3.13,   5.10,   1.93,   2.17,  -2.07,  -0.95,   3.59,   4.19,   3.96
192609,   0.43,   4.48,  -0.56,  -3.86,   4.46,  -1.26,   0.89,   1.65,   0.02,   0.52,  -1.93,  -0.08
192610,  -1.47,  -8.47,  -3.44,  -0.90,  -4.79,  -5.45,  -0.11,  -2.88,  -2.54,  -1.20,  -5.57,  -3.01
192611,   4.92,  -2.37,   3.26,  -0.62,   5.05,   4.79,   1.63,   3.31,   5.90,   4.78,   2.05,   1.64
192612,   0.04,   9.56,   3.03,   2.21,   3.14,  -2.73,   0.51,  -0.67,   0.43,  -0.68,   1.60,   2.63
192701,  -0.90,  -1.17,  -0.64,   1.08,   0.00,  -0.84,   1.88,  -1.99,  -2.79,   4.43,  -2.14,   1.29
192702,   3.01,   8.02,   4.12,   0.98,   9.52,   4.60,   3.97,   4.13,   3.11,   1.08,   2.38,   4.75
192703,   1.86,   1.34,  -0.17,  -6.52,   5.06,  -0.42,   4.16,  -0.06,  -0.58,   0.81,   0.43,   0.72
192704,   3.20,   2.93,  -0.10,  -5.39,   2.52,   6.20,  -2.13,   1.46,   3.79,   2.16,   2.38,   0.62
192705,   7.89,   4.57,   5.15,   4.31,   4.11,   7.56,   3.35,   8.83,   2.23,   3.48,   9.71,   5.95
192706,  -2.46,  -3.25,  -3.40,  -3.64,  -2.70,   1.92,  -3.47,  -3.96,  -0.79,   0.23,  -1.10,  -2.81
192707,   4.64,  12.82,   9.83,   2.71,  16.83,  13.32,   3.73,   4.97,   9.59,   9.30,   6.45,   5.61
192708,   2.53,   6.29,   2.54,  -0.64,   1.80,   6.64,   0.43,   3.09,   6.93,  -0.28,   1.62,  -1.54
192709,   4.59,   5.45,   3.80,   2.95,   5.43,   0.13,   5.21,   7.93,   7.34,   5.46,   5.40,   3.97
192710,  -0.98,  -4.53,  -6.90,  -2.31,  -7.11,  -7.20,  -2.09,  -4.60,  -5.16,   4.30,   3.97,  -4.43
192711,   6.57,   4.41,  10.85,   3.74,   7.97,  11.10,   2.83,   5.99,  11.28,   3.12,   7.75,   3.92
192712,   1.52,   7.54,   3.20,  -0.10,  -0.36,   1.37,   0.09,   1.95,  -0.83,  -0.77,  10.52,   0.68
192801,   0.42,  -3.49,  -0.83,  -2.02,  -0.63,  -0.48,   0.29,   5.58,  -1.07,   2.25,   1.44,  -1.46
192802,  -4.47,   0.56,  -3.12,  -0.75,   0.97,  -0.92,  -0.30,  -0.97,  -1.52,  -1.58,  -3.04,  -2.32
192803,   3.72,  27.30,   5.93,   5.03,  11.95,  21.75,   0.71,   6.35,   8.29,   9.90,   9.20,   5.30
192804,  -0.60,   1.35,   1.80,  15.01,  -0.11,   2.29,   3.22,  10.64,  -0.40,   2.14,   9.18,   3.71
192805,   0.66,   4.44,   3.54,  -5.73,   2.67,   1.62,   6.61,   1.25,   3.67,   8.55,   1.93,  -0.47
192806,  -5.06,  -4.25,  -6.01,  -4.32,  -3.73,  -6.26,  -6.41,  -3.65,  -3.53,  -3.57, -10.61,  -4.49
192807,   1.55,   0.75,   1.92,   0.94,   1.84,  -0.06,  -1.28,  -1.55,   5.25,   2.25,   0.29,  -0.70
192808,   5.79,   8.53,   7.61,   1.92,   8.58,  11.10,   4.55,   6.12,  13.23,  13.84,   5.07,   4.22
192809,   0.67,   7.70,   3.33,   5.07,   4.32,   0.70,  -1.09,   3.61,   0.05,  -1.36,   1.47,   0.59
192810,   0.72,  -0.04,   3.71,   1.93,   4.96,   1.92,   2.96,  -2.16,   5.74,  -0.07,   2.59,  -0.96
192811,   6.37,   3.30,  12.18,  16.57,  12.12,  21.62,   6.68,  21.64,  15.00,   4.40,   9.85,   9.49
192812,  -1.22,  -1.42,   2.79,  -4.50,   1.68,   7.45,  -1.52,   1.37,  -1.42,  -0.62,   0.43,  -0.28
192901,   3.18,   1.19,   6.87,  -7.73,  21.64,  11.54,  13.37,  12.93,  -4.02,   3.30,   8.10,   5.06
192902,  -3.07,  -0.63,   4.50,  -0.54,  -0.59,  -1.04,  -1.15,  -2.19,  -2.69,  -0.58,   0.75,  -0.38
192903,  -5.14,  -2.04,  -1.75,  10.41,  -4.00,   4.86,   3.26,  -3.36,  -5.27,  -1.75,  -1.57,  -2.73
192904,   1.63,  -1.10,   1.63,   0.63,   3.49,   1.91,   3.39,   4.88,   3.42,   1.36,   0.50,   0.33
192905,  -4.22, -15.98, -10.90,  -6.02,  -7.77,   0.64,  -8.77,   4.58,  -8.79,  -8.47,  -3.34,  -0.25
192906,   4.83,   6.88,  10.65,   0.84,  19.50,  17.61,  12.62,  23.32,   9.29,   4.24,   5.66,   5.30
192907,   2.99,  -3.17,   3.62,   0.01,   4.71,   9.42,  13.68,   9.00,   0.87,   2.48,   8.36,   5.98
192908,   4.49,   2.34,   8.73,  10.90,  10.67,  12.32,  10.98,   8.66,   7.51,   2.50,   5.65,   7.70
192909,  -4.07,  -8.56,  -7.45,  -3.18,  -6.45,  -8.57,  -2.13,   1.22,  -5.61,  -7.38,  -6.01,  -6.86
192910, -10.87, -29.13, -17.50, -10.22, -24.90, -29.71, -15.39, -30.13, -24.15, -18.15, -28.84,  -9.42
192911,  -8.81, -18.66, -14.03,  -6.91, -16.83, -19.75,  -9.47, -14.95, -12.82,  -8.66, -14.14,  -9.35
192912,  -0.02,   4.44,  -0.50,  -1.48,   5.71,  11.15,   0.00,   7.62,  -6.19,   0.43,  -1.05,  -1.31
193001,   5.40,   5.73,   6.01,  -0.97,   8.35,  10.77,   1.19,   7.07,   4.40,   2.36,   9.73,   3.90
